,Contact_ID,Source_Folder,Explicit_Competitor_Mention,Implied_Competitor_Mention,Explicit_Switching_Intent,Implied_Switching_Intent,Competitor_Names_Listed,Mentioned_Alcumus_Competitors
0,537988364615,02_09_2024,No,No,No,No,COMP_NO,No
1,537988367170,02_09_2024,No,No,No,No,COMP_NO,No
2,537988370256,02_09_2024,No,No,No,No,COMP_NO,No
3,537988474219,02_09_2024,No,No,No,No,COMP_NO,No
4,538174552516,02_09_2024,No,No,No,No,COMP_NO,No
5,538174554056,02_09_2024,No,No,No,No,COMP_NO,No
6,538175431832,03_09_2024,No,No,No,No,COMP_NO,No
7,565596671499,31_10_2024,No,Yes,No,No,COMP_NO,No
8,565596671955,31_10_2024,No,No,No,No,COMP_NO,No
9,565596719680,31_10_2024,No,No,No,No,COMP_NO,No
10,565596783075,31_10_2024,No,No,No,No,COMP_NO,No
11,565596791154,31_10_2024,No,Yes,No,Yes,COMP_NO,Yes
12,565596820110,31_10_2024,No,No,No,No,COMP_NO,No
13,565596822138,31_10_2024,No,No,No,No,COMP_NO,No
14,565596907828,31_10_2024,No,No,No,No,COMP_NO,No
15,565596927090,31_10_2024,Yes,Yes,No,No,COMP_SA,Yes
16,565596960635,31_10_2024,No,No,No,No,COMP_NO,No
17,565596963120,31_10_2024,No,No,No,No,COMP_NO,No
18,565596970278,31_10_2024,No,No,No,No,COMP_NO,No
19,565596972690,31_10_2024,No,No,No,No,COMP_NO,No
20,565597045204,31_10_2024,No,No,No,No,COMP_NO,No
21,565597045410,31_10_2024,No,No,No,No,COMP_NO,No
22,537988293015,02_09_2024,No,No,No,No,COMP_NO,No
23,537988316847,02_09_2024,No,No,No,No,COMP_NO,No
24,537988377913,02_09_2024,No,No,No,No,COMP_NO,No
25,537988381802,02_09_2024,No,Yes,No,No,COMP_AC,Yes
26,537988396595,02_09_2024,No,No,No,No,COMP_NO,No
27,537988410213,02_09_2024,No,No,No,No,COMP_NO,No
28,537988460450,02_09_2024,No,Yes,No,No,COMP_NO,No
29,537988461906,02_09_2024,No,No,No,No,COMP_NO,No
30,537988465161,02_09_2024,No,No,No,No,COMP_NO,No
31,537988470276,02_09_2024,No,No,No,No,COMP_NO,No
32,537988471312,02_09_2024,No,No,No,No,COMP_NO,No
33,537988473146,02_09_2024,No,No,No,No,COMP_NO,No
34,537988475534,02_09_2024,No,No,No,No,COMP_NO,No
35,537988481016,02_09_2024,No,No,No,No,COMP_NO,No
36,538174546808,02_09_2024,No,Yes,No,Yes,COMP_NO,No
37,538174549647,02_09_2024,No,No,No,No,COMP_NO,No
38,538174555162,02_09_2024,No,No,No,No,COMP_NO,No
