,Contact_ID,Start_Date,Prospect Outcome,Prospect Status,Prospect Renewal Date,Renewal Month,Payment Method,Renewal Score at release,Proforma Membership Status,Anchor or Indie,Anchor Group,Proforma Approved Lists,Tenure (Years),Tenure Group,Band,Date Paid,Payment Timeframe,Payment Time Frame 2,Payment Time Frame 3,Total Net Paid,Starting Net,Auto Renewal - Proforma Release,Now on Auto Renewal,Process
0,538175801914,2024-09-03,Won,Renewed,2024-10-23,2024-10-01,BACS,27.0,Accredited,Anchored,2,2,6,4+,Band D,2024-10-28 00:00:00.000,5.0,Within 13 Days After Renewal,Paid Late,1279.0,1279,0,0,process
1,538176256176,2024-09-04,Won,Renewed,2024-10-01,2024-10-01,CARD,25.5,Accredited,Independent,Independent,0,5,4+,Band C2,2024-10-01 04:00:35.710,0.0,On Renewal Date,Paid on Time,1099.0,1099,1,1,process
2,538176270449,2024-09-04,Won,Renewed,2024-10-01,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,124,,Band C1,2024-10-01 04:00:27.953,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
3,538176276504,2024-09-04,Won,Renewed,2024-10-01,2024-10-01,CARD,26.0,Accredited,Independent,Independent,0,11,4+,Band C1,2024-10-01 04:00:27.057,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
4,538176294696,2024-09-04,Lost,No Longer Trading,2024-10-01,2024-10-01,,25.0,In Progress,Anchored,1,1,6,4+,Band C2,,,,,,949,1,0,process
5,538176331570,2024-09-04,Won,Renewed,2024-10-01,2024-10-01,CARD,26.5,Accredited,Anchored,2,2,3,3,Band B,2024-10-01 04:00:38.123,0.0,On Renewal Date,Paid on Time,599.0,599,1,1,process
6,538176379877,2024-09-04,Won,Renewed,2024-10-01,2024-10-01,CARD,23.5,Accredited,Independent,Independent,0,124,,Band C1,2024-10-01 04:00:20.427,0.0,On Renewal Date,Paid on Time,919.0,919,1,1,process
7,538176532802,2024-09-04,Won,Renewed,2024-10-12,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,15,4+,Band B,2024-10-12 04:00:42.917,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
8,538342550070,2024-09-04,Won,Renewed,2024-10-12,2024-10-01,CARD,27.0,Accredited,Anchored,1,1,15,4+,Band B,2024-10-12 04:00:42.917,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
9,538342614363,2024-09-04,Won,Renewed,2024-10-01,2024-10-01,CARD,24.0,In Progress,Independent,Independent,0,4,4+,Band C1,2024-10-01 04:00:37.337,0.0,On Renewal Date,Paid on Time,799.0,799,1,1,process
10,538342843958,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,22.0,In Progress,Independent,Independent,0,1,1,Band B,2024-10-02 04:01:02.570,0.0,On Renewal Date,Paid on Time,684.0,684,1,1,process
11,538342849446,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,BACS,20.5,Member Only,Independent,Independent,0,1,1,Band C1,2024-10-08 00:00:00.000,6.0,Within 13 Days After Renewal,Paid Late,799.0,904,1,1,process
12,538342897682,2024-09-05,Won,Renewed,2024-10-02,2024-10-01,CARD,26.5,Accredited,Anchored,1,1,6,4+,Band C2,2024-10-02 04:00:51.690,0.0,On Renewal Date,Paid on Time,1069.0,1069,1,1,process
